,AIDA_WW_UCAW_LA_18062021.,Getting travel insurance:AIDA_WW_CAW_CB_07062021,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021",Renting a car:AIDA_WW_CAW_CB_07062021,Hiring a tour guide:AIDA_WW_CAW_CB_07062021,Finding a 5* hotel:AIDA_WW_CAW_CB_07062021,Finding free accommodation via couch surfing website:AIDA_WW_CAW_CB_07062021,Buying a weekly ticket for public transport:AIDA_WW_CAW_CB_07062021,Getting free advice/maps from the local tourist organization:AIDA_WW_CAW_CB_07062021,Renting a bike from the street (public bicycle scheme):AIDA_WW_CAW_CB_07062021,Walking into the mayor’s office for a quick catch up:AIDA_WW_CAW_CB_07062021,AIDA_WW_UUBA_TB_18062021 ,Go City:AIDA_WW_ABA_IMS_07062021,CityPass:AIDA_WW_ABA_IMS_07062021,The Sightseeing Pass:AIDA_WW_ABA_IMS_07062021,iVenture Card:AIDA_WW_ABA_IMS_07062021,Turbopass:AIDA_WW_ABA_IMS_07062021,The New York Pass:AIDA_WW_ABA_IMS_07062021,Hopper Pass:AIDA_WW_ABA_IMS_07062021,Tour Pass:AIDA_WW_ABA_IMS_07062021,Zipper Pass:AIDA_WW_ABA_IMS_07062021,Go Las Vegas:AIDA_WW_ABA_IMS_07062021,Go Oahu:AIDA_WW_ABA_IMS_07062021,AIDA_WW_AWS_RB_14062021,Other:AIDA_WW_AWS_RB_14062021,Go City :AIDA_WW_BEX_CB_16082021,City Pass :AIDA_WW_BEX_CB_16082021,The Sightseeing Pass :AIDA_WW_BEX_CB_16082021,iVenture Card :AIDA_WW_BEX_CB_16082021,Turbopass :AIDA_WW_BEX_CB_16082021,The New York Pass :AIDA_WW_BEX_CB_16082021,Go City:AIDA_WW_BSAT_RBG_07062021,CityPass:AIDA_WW_BSAT_RBG_07062021,The Sightseeing Pass:AIDA_WW_BSAT_RBG_07062021,iVentureCard:AIDA_WW_BSAT_RBG_07062021,Turbopass:AIDA_WW_BSAT_RBG_07062021,The New York Pass:AIDA_WW_BSAT_RBG_07062021,Go City:AIDA_WW_BCON_RBG_07062021,CityPass:AIDA_WW_BCON_RBG_07062021,The Sightseeing Pass:AIDA_WW_BCON_RBG_07062021,iVenture Card:AIDA_WW_BCON_RBG_07062021,Turbopass:AIDA_WW_BCON_RBG_07062021,The New York Pass:AIDA_WW_BCON_RBG_07062021,AIDA_WW_PURCHI_RB_07062021,AIDA_WW_UCAW_LA_18062021._clean,AIDA_WW_UUBA_TB_18062021 _clean,AIDA_WW_UBA_TB_07062021_clean,I own a valid passport:SBEH_US_PASS_CB_07062021,I plan a leisure trip within the USA in the next two years:SBEH_US_PASS_CB_07062021,I plan a leisure trip abroad in the next two years:SBEH_US_PASS_CB_07062021,Boston:SBEH_US_TRINTUS_CB_14062021.,Chicago:SBEH_US_TRINTUS_CB_14062021.,Las Vegas:SBEH_US_TRINTUS_CB_14062021.,Los Angeles:SBEH_US_TRINTUS_CB_14062021.,Miami:SBEH_US_TRINTUS_CB_14062021.,New Orleans:SBEH_US_TRINTUS_CB_14062021.,New York:SBEH_US_TRINTUS_CB_14062021.,Oahu:SBEH_US_TRINTUS_CB_14062021.,Orlando:SBEH_US_TRINTUS_CB_14062021.,Philadelphia:SBEH_US_TRINTUS_CB_14062021.,San Antonio:SBEH_US_TRINTUS_CB_14062021.,San Diego:SBEH_US_TRINTUS_CB_14062021.,San Francisco:SBEH_US_TRINTUS_CB_14062021.,Washington DC:SBEH_US_TRINTUS_CB_14062021.,Bangkok:SBEH_US_TRINTWW_CB_14062021,Dubai:SBEH_US_TRINTWW_CB_14062021,Hong Kong:SBEH_US_TRINTWW_CB_14062021,Shanghai:SBEH_US_TRINTWW_CB_14062021,Singapore:SBEH_US_TRINTWW_CB_14062021,Cancun:SBEH_US_TRINTWW_CB_14062021,Barcelona:SBEH_US_TRINTWW_CB_14062021,Berlin:SBEH_US_TRINTWW_CB_14062021,Dublin:SBEH_US_TRINTWW_CB_14062021,Gothenburg:SBEH_US_TRINTWW_CB_14062021,Helsinki:SBEH_US_TRINTWW_CB_14062021,London:SBEH_US_TRINTWW_CB_14062021,Madrid:SBEH_US_TRINTWW_CB_14062021,Paris:SBEH_US_TRINTWW_CB_14062021,Rome:SBEH_US_TRINTWW_CB_14062021,Stockholm:SBEH_US_TRINTWW_CB_14062021,Vienna:SBEH_US_TRINTWW_CB_14062021,SBEH_WW_TRFREQ_RB_07062021,SBEH_WW_AVTRIP_RB_07062021,Beach or seaside resort:SBEH_WW_DESTTYPE_CB_07062021,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021,Culturally/Spiritually significant place:SBEH_WW_DESTTYPE_CB_07062021,Rural or countryside locales:SBEH_WW_DESTTYPE_CB_07062021,Niche or extreme destinations (e.g. Antarctica):SBEH_WW_DESTTYPE_CB_07062021,Something else:SBEH_WW_DESTTYPE_CB_07062021,Hotel:SBEH_WW_STAYTYPE_CB_07062021,Luxury resort:SBEH_WW_STAYTYPE_CB_07062021,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021,Campsite:SBEH_WW_STAYTYPE_CB_07062021,Somewhere else:SBEH_WW_STAYTYPE_CB_07062021
0,"Hotels, Transportation, Museums, other activities and special restaurants.",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,State or Countries tourism office. Local area's tourism office. Attractions blog/websites. Airlines websites. Hotel websites. AARP. Trivago. Expedia. ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,"hotels, transportation, museums, other activities and special restaurants.",state or countries tourism office. local area's tourism office. attractions blog/websites. airlines websites. hotel websites. aarp. trivago. expedia. ,local tourism office. ,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,No rules,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
1,time square,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,travel.com,Go City,CityPass,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Google search,NoAnswer,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very likely,Very likely,NoAnswer,NoAnswer,NoAnswer,Very likely,I am not sure / I will decide on the spot,time square,travel.com,i do not know,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,Chicago,NoAnswer,Los Angeles,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Paris,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,NoAnswer,NoAnswer,NoAnswer,Culturally/Spiritually significant place,NoAnswer,Niche or extreme destinations (e.g. Antarctica),NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
2,a hotel some dining i would not need a car i would use a lyft to get around and air travel,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,comfort inn south west ,NoAnswer,NoAnswer,The Sightseeing Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,The Sightseeing Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,a hotel some dining i would not need a car i would use a lyft to get around and air travel,comfort inn south west ,unsure,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
3,"Airplane, museum admission, theater, symphony, ground transportation",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,"Nike, Apple,  Bloomingdales, Starbucks, McDonalds",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"airplane, museum admission, theater, symphony, ground transportation","nike, apple,  bloomingdales, starbucks, mcdonalds",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,Chicago,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Washington DC,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
4,"lodging, London rail pass for 30 days, airline tickets to and from.",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,none at present,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Zipper Pass,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"lodging, london rail pass for 30 days, airline tickets to and from.",none at present,NoAnswer,I own a valid passport,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
5,"I'd like to return to Paris.  I'd prebook a tour of the Louvre.  I'd also prebook a train to Hamburg, because I can't go to Paris without visiting my mother's hometown!",Getting travel insurance,NoAnswer,NoAnswer,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Travelocity Expedia,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"i'd like to return to paris.  i'd prebook a tour of the louvre.  i'd also prebook a train to hamburg, because i can't go to paris without visiting my mother's hometown!",travelocity expedia,NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Antonio,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
6,"Broadway show, muesums, statue of liberty, empire state building",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"expediate, travelocity, ",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"broadway show, muesums, statue of liberty, empire state building","expediate, travelocity, ",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Oahu,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,2 weeks or more,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
7,I would organize a sightseeing tour and some thing that would help me go through the city with confidence,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Airbnb, hotels.com",Go City,CityPass,The Sightseeing Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Travel website/app,NoAnswer,Go City,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,Very satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Very likely,Very likely,NoAnswer,NoAnswer,NoAnswer,Citypass,i would organize a sightseeing tour and some thing that would help me go through the city with confidence,"airbnb, hotels.com",not sure,I own a valid passport,NoAnswer,I plan a leisure trip abroad in the next two years,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,Dubai,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Barcelona,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
8,"Hotel, Plane tickets, special events we want to visit ",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,Finding free accommodation via couch surfing website,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"Priceline, AirBNB",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"hotel, plane tickets, special events we want to visit ","priceline, airbnb",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,NoAnswer,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
9,"hotel, touring trips, any special items of places I would want to see",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Expedia, Orbitz, hotels.com",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Neither likely nor unlikely,I am not sure / I will decide on the spot,"hotel, touring trips, any special items of places i would want to see","expedia, orbitz, hotels.com",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Diego,San Francisco,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
